residencia_provincia_id,fecha,cuenta_diag,cuenta_inter,cuenta_uti,cuenta_muertes,18 a 39 años SIN Factores de Riesgo,18 a 59 años CON Factores de Riesgo,40 a 49 años SIN Factores de Riesgo,50 a 59 años SIN Factores de Riesgo,60 o más años,Estratégico,Otros,Salud,AstraZeneca,COVISHIELD,Sinopharm,Sputnik,1,2,Poblacion
30,2020-01-01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1385961
14,2020-01-01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,3760450
2,2020-01-01,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,3075646
6,2020-01-01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,17541141
22,2020-01-01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1204541
34,2020-01-01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,605193
82,2020-01-01,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,3536418
74,2020-01-01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,508328
50,2020-01-01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1990338
66,2020-01-01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1424397
62,2020-01-01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,774761
90,2020-01-01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1694656
86,2020-01-01,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,978313
10,2020-01-01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,415438
18,2020-01-01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1120801
70,2020-01-01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,781217
78,2020-01-01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,365698
99,2020-01-01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0
42,2020-01-01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,358428
